variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,-40.0,3.0,0x00,171.1956,166.189,25.449890438221658,tt_T-040C_V3p0_code0x00.log
as-committed,tt,-40.0,3.3,0x00,578.5766,194.0,26.06172197615613,tt_T-040C_V3p3_code0x00.log
as-committed,tt,-40.0,3.6,0x00,727.6365,225.884,26.436737547966157,tt_T-040C_V3p6_code0x00.log
as-committed,tt,27.0,3.0,0x00,480.3621,214.278,27.11426901964293,tt_T+027C_V3p0_code0x00.log
as-committed,tt,27.0,3.3,0x00,595.0037,242.128,27.665922914438987,tt_T+027C_V3p3_code0x00.log
as-committed,tt,27.0,3.6,0x00,721.8333,272.869,28.029930359638023,tt_T+027C_V3p6_code0x00.log
as-committed,tt,85.0,3.0,0x00,525.4396,260.408,28.26911062551061,tt_T+085C_V3p0_code0x00.log
as-committed,tt,85.0,3.3,0x00,629.1629,289.867,28.699386837600215,tt_T+085C_V3p3_code0x00.log
as-committed,tt,85.0,3.6,0x00,742.3669,320.921,29.08456336799244,tt_T+085C_V3p6_code0x00.log
as-committed,ff,-40.0,3.0,0x00,638.9265,243.424,35.094738245894796,ff_T-040C_V3p0_code0x00.log
as-committed,ff,-40.0,3.3,0x00,801.4978,281.851,35.64033202533315,ff_T-040C_V3p3_code0x00.log
as-committed,ff,-40.0,3.6,0x00,978.6799,324.828,36.07842005382901,ff_T-040C_V3p6_code0x00.log
as-committed,ff,27.0,3.0,0x00,680.049,311.058,37.12179847689261,ff_T+027C_V3p0_code0x00.log
as-committed,ff,27.0,3.3,0x00,818.6954,349.15,37.68252472915685,ff_T+027C_V3p3_code0x00.log
as-committed,ff,27.0,3.6,0x00,968.3831,390.054,38.10343940695807,ff_T+027C_V3p6_code0x00.log
as-committed,ff,85.0,3.0,0x00,734.9196,373.843,39.43948602461813,ff_T+085C_V3p0_code0x00.log
as-committed,ff,85.0,3.3,0x00,863.2553,417.286,39.295664509334685,ff_T+085C_V3p3_code0x00.log
as-committed,ff,85.0,3.6,0x00,996.5421,459.46,39.48877827643329,ff_T+085C_V3p6_code0x00.log
as-committed,ss,-40.0,3.0,0x00,80.26703,119.308,18.779677759509326,ss_T-040C_V3p0_code0x00.log
as-committed,ss,-40.0,3.3,0x00,117.5215,138.944,19.669358090498715,ss_T-040C_V3p3_code0x00.log
as-committed,ss,-40.0,3.6,0x00,534.5154,162.332,20.164684982250034,ss_T-040C_V3p6_code0x00.log
as-committed,ss,27.0,3.0,0x00,340.2673,155.552,20.363322398229204,ss_T+027C_V3p0_code0x00.log
as-committed,ss,27.0,3.3,0x00,432.7009,176.253,21.046871382568977,ss_T+027C_V3p3_code0x00.log
as-committed,ss,27.0,3.6,0x00,537.6398,199.579,21.484677128272118,ss_T+027C_V3p6_code0x00.log
as-committed,ss,85.0,3.0,0x00,379.0375,190.214,21.374303598470885,ss_T+085C_V3p0_code0x00.log
as-committed,ss,85.0,3.3,0x00,463.327,212.344,21.93701663154916,ss_T+085C_V3p3_code0x00.log
as-committed,ss,85.0,3.6,0x00,557.731,236.013,22.29589777776787,ss_T+085C_V3p6_code0x00.log
as-committed,fs,-40.0,3.0,0x00,246.716,180.025,25.973519996363706,fs_T-040C_V3p0_code0x00.log
as-committed,fs,-40.0,3.3,0x00,194.7556,211.341,26.41247302626192,fs_T-040C_V3p3_code0x00.log
as-committed,fs,-40.0,3.6,0x00,320.5283,247.119,26.73775344048042,fs_T-040C_V3p6_code0x00.log
as-committed,fs,27.0,3.0,0x00,482.5364,226.567,27.54532583365929,fs_T+027C_V3p0_code0x00.log
as-committed,fs,27.0,3.3,0x00,598.5459,257.168,27.968155458195298,fs_T+027C_V3p3_code0x00.log
as-committed,fs,27.0,3.6,0x00,726.5672,290.387,28.227058458238066,fs_T+027C_V3p6_code0x00.log
as-committed,fs,85.0,3.0,0x00,524.2784,270.511,29.48460903408421,fs_T+085C_V3p0_code0x00.log
as-committed,fs,85.0,3.3,0x00,629.3022,302.943,29.204456015898906,fs_T+085C_V3p3_code0x00.log
as-committed,fs,85.0,3.6,0x00,743.0952,336.122,29.250072028302373,fs_T+085C_V3p6_code0x00.log
as-committed,sf,-40.0,3.0,0x00,139.4689,156.202,24.434076251421757,sf_T-040C_V3p0_code0x00.log
as-committed,sf,-40.0,3.3,0x00,113.407,180.617,25.490793362707223,sf_T-040C_V3p3_code0x00.log
as-committed,sf,-40.0,3.6,0x00,420.6795,209.161,26.040751171508294,sf_T-040C_V3p6_code0x00.log
as-committed,sf,27.0,3.0,0x00,480.3,204.758,26.39797052402611,sf_T+027C_V3p0_code0x00.log
as-committed,sf,27.0,3.3,0x00,592.9787,230.546,27.208663238375102,sf_T+027C_V3p3_code0x00.log
as-committed,sf,27.0,3.6,0x00,717.8425,258.942,27.704130962967888,sf_T+027C_V3p6_code0x00.log
as-committed,sf,85.0,3.0,0x00,528.0863,251.984,27.619845964119058,sf_T+085C_V3p0_code0x00.log
as-committed,sf,85.0,3.3,0x00,630.3012,279.87,28.316659540307352,sf_T+085C_V3p3_code0x00.log
as-committed,sf,85.0,3.6,0x00,742.1669,309.039,28.754678026681468,sf_T+085C_V3p6_code0x00.log
as-committed,rc_f,-40.0,3.0,0x00,263.8928,215.192,33.46093101694461,rc_f_T-040C_V3p0_code0x00.log
as-committed,rc_f,-40.0,3.3,0x00,633.1267,247.589,34.46784236476974,rc_f_T-040C_V3p3_code0x00.log
