====================================================================
gf180-rcosc post-layout PEX PVT run: extracted_tt_T+085C_V3p6_code0xC0
side        : extracted
run id      : 20260907T131703Z
process     : tt (fets=typical res=res_typical mimcap=mimcap_typical)
temperature : 85 C
supply      : 3.6 V
trim code   : 0xC0 (192)
transient   : tran 200p 1200n, f = 20 periods / (t[rise=25] - t[rise=5])
wall clock  : 13.3 s
exit status : 0
====================================================================

Note: Compatibility modes selected: hs a


Circuit: ** sch_path: /users/rwalters/github/gf180-rcosc/.loom/worktrees/issue-28/design/pvt_tb.sch

Doing analysis at TEMP = 85.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
xxdut.\$15__t0                         1.43744
xxdut.\$19__t1                         1.51677
xxdut.vss__t0                      0.000111328
xxdut.vsubs                           0.448295
xxdut.\$17__t2                     7.14102e-06
xxdut.\$22__t2                         3.54297
xxdut.vss__t12                      8.0563e-08
xxdut.\$18__t3                         1.42173
xxdut.\$15__t3                         1.44271
xxdut.vss__t11                       0.0019241
xxdut.\$18__t2                          1.4259
xxdut.clk__t5                          0.48016
xxdut.vss__t10                     2.42878e-05
xxdut.clk__t4                          0.48016
xxdut.\$17__t3                     7.14116e-06
xxdut.vss__t9                      7.70881e-08
xxdut.clk__t3                         0.479728
xxdut.\$18__t4                         1.42593
xxdut.vss__t8                       0.00173653
xxdut.\$14__t6                        0.996922
xxdut.\$13__t3                        0.931858
xxdut.vss__t3                      0.000108558
xxdut.vss__t25                     0.000103509
xxdut.\$13__t4                        0.931858
xxdut.\$14__t7                        0.996932
xxdut.\$14__t5                        0.996941
xxdut.\$13__t17                       0.931858
xxdut.vss__t24                     9.84781e-05
xxdut.vss__t18                     9.34467e-05
xxdut.\$13__t16                       0.931858
xxdut.\$14__t9                         0.99695
xxdut.\$14__t4                         0.99696
xxdut.\$13__t15                       0.931858
xxdut.vss__t23                     8.84152e-05
xxdut.vss__t17                     8.33835e-05
xxdut.\$13__t14                       0.931858
xxdut.\$14__t8                        0.996969
xxdut.\$14__t2                        0.996966
xxdut.\$13__t13                       0.931858
xxdut.vss__t22                     7.83517e-05
xxdut.vss__t4                      7.33315e-05
xxdut.\$13__t5                        0.931858
xxdut.\$14__t3                        0.996957
xxdut.\$16__t9                        0.446909
xxdut.\$13__t18                       0.931858
xxdut.vss__t7                      9.36004e-05
xxdut.vss__t16                     9.84386e-05
xxdut.\$13__t12                       0.931858
xxdut.\$16__t8                        0.446918
xxdut.\$16__t5                        0.446927
xxdut.\$13__t11                       0.931858
xxdut.vss__t21                     0.000103292
xxdut.vss__t15                     0.000108146
xxdut.\$13__t10                       0.931858
xxdut.\$16__t7                        0.446936
xxdut.\$16__t4                        0.446945
xxdut.\$13__t9                        0.931858
xxdut.vss__t20                     0.000112999
xxdut.vss__t14                     0.000117853
xxdut.\$13__t8                        0.931858
xxdut.\$16__t6                        0.446954
xxdut.\$16__t3                        0.446952
xxdut.\$13__t7                        0.931858
xxdut.vss__t19                     0.000122705
xxdut.vss__t6                      0.000127579
xxdut.\$13__t6                        0.931858
xxdut.\$16__t2                        0.446943
xxdut.\$19__t0                         1.51421
xxdut.\$12__t1                         2.32439
xxdut.\$14__t0                         0.99718
xxdut.\$20__t3                         1.31493
xxdut.\$10__t1                         2.39904
xxdut.\$14__t1                        0.997322
xxdut.\$22__t3                         3.54268
xxdut.\$11__t0                          1.1991
xxdut.\$16__t1                        0.446981
xxdut.\$23__t3                         0.69367
xxdut.\$12__t5                         2.32439
xxdut.\$16__t0                        0.447591
xxdut.vss__t2                       0.00134864
xxdut.\$13__t2                        0.931858
xxdut.\$13__t1                        0.929494
xxdut.\$2__t2                          3.42592
xxdut.t0__t0                                 0
xxdut.\$1__t2                          3.43498
xxdut.\$3__t2                          3.40978
xxdut.t1__t0                                 0
xxdut.\$2__t3                          3.42592
xxdut.\$4__t2                          3.37951
xxdut.t2__t0                                 0
xxdut.\$3__t3                          3.40978
xxdut.\$5__t2                          3.32098
xxdut.t3__t0                                 0
xxdut.\$4__t3                          3.37951
xxdut.\$6__t2                          3.20595
xxdut.t4__t0                                 0
xxdut.\$5__t3                          3.32098
xxdut.\$7__t2                          2.97789
xxdut.t5__t0                                 0
xxdut.\$6__t3                          3.20595
xxdut.\$8__t2                          2.53385
xxdut.t6__t0                               3.6
xxdut.\$7__t3                          2.97788
xxdut.\$12__t4                           2.325
xxdut.t7__t0                               3.6
xxdut.\$8__t3                          2.53345
xxdut.\$12__t2                         2.32387
xxdut.clk__t0                          0.48016
xxdut.vss__t1                      0.000219831
xxdut.\$20__t0                          1.3185
xxdut.\$20__t1                          1.3181
xxdut.vdd__t2                          3.59985
xxdut.vdd__t3                              3.6
xxdut.\$19__t3                         1.51796
xxdut.\$20__t2                          1.3181
xxdut.vdd__t19                         3.59976
xxdut.vdd__t16                             3.6
xxdut.\$15__t1                         1.44633
xxdut.\$19__t2                         1.51677
xxdut.vdd__t4                          3.59943
xxdut.vdd__t5                              3.6
xxdut.\$23__t2                        0.700153
xxdut.\$23__t0                         0.69943
xxdut.vdd__t18                          3.5981
xxdut.vdd__t15                             3.6
xxdut.\$22__t1                         3.54311
xxdut.\$23__t1                         0.69943
xxdut.vdd__t20                         3.59987
xxdut.vdd__t17                             3.6
xxdut.\$17__t0                     7.14123e-06
xxdut.\$22__t0                         3.54297
xxdut.vdd__t14                             3.6
xxdut.vdd__t11                             3.6
xxdut.\$24__t1                         2.80499
xxdut.\$15__t2                         1.44271
xxdut.vdd__t13                         3.59717
xxdut.vdd__t10                             3.6
xxdut.\$18__t0                         1.42832
xxdut.clk__t2                          0.48016
xxdut.\$24__t0                         2.80259
xxdut.vdd__t9                              3.6
xxdut.\$25__t1                         3.33575
xxdut.\$17__t1                     7.14116e-06
xxdut.vdd__t12                         3.59766
xxdut.vdd__t8                              3.6
xxdut.clk__t1                         0.485291
xxdut.\$18__t1                         1.42593
xxdut.\$25__t0                         3.33389
xxdut.vdd__t7                              3.6
xxdut.vss__t5                                0
xxdut.\$12__t3                         2.32439
xxdut.vdd__t0                          3.59805
xxdut.x$48.11                          3.59732
xxdut.x$48.21                          2.40167
xxdut.\$10__t0                         2.40094
xxdut.\$10__t2                         2.39807
xxdut.x$49.11                          2.39735
xxdut.x$49.21                          1.20169
xxdut.\$11__t1                         1.20097
xxdut.\$11__t2                         1.19823
xxdut.x$50.11                          1.19751
xxdut.x$50.21                       0.00185174
xxdut.vss__t13                      0.00112486
xxdut.vdd__t1                          3.59924
xxdut.x$51.11                          3.59866
xxdut.x$51.21                          3.43634
xxdut.\$1__t0                          3.43577
xxdut.\$1__t1                          3.43456
xxdut.x$52.11                          3.43399
xxdut.x$52.21                          3.42693
xxdut.\$2__t0                          3.42636
xxdut.\$2__t1                          3.42549
xxdut.x$53.11                          3.42491
xxdut.x$53.21                          3.41079
xxdut.\$3__t0                          3.41021
xxdut.\$3__t1                          3.40934
xxdut.x$54.11                          3.40877
xxdut.x$54.21                          3.38052
xxdut.\$4__t0                          3.37994
xxdut.\$4__t1                          3.37907
xxdut.x$55.11                           3.3785
xxdut.x$55.21                            3.322
xxdut.\$5__t0                          3.32142
xxdut.\$5__t1                          3.32054
xxdut.x$56.11                          3.31997
xxdut.x$56.21                          3.20697
xxdut.\$6__t0                           3.2064
xxdut.\$6__t1                           3.2055
xxdut.x$57.11                          3.20492
xxdut.x$57.21                          2.97893
xxdut.\$7__t0                          2.97836
xxdut.\$7__t1                          2.97743
xxdut.x$58.11                          2.97687
xxdut.x$58.21                          2.53489
xxdut.\$8__t0                          2.53433
xxdut.\$8__t1                          2.53372
xxdut.x$59.11                          2.53359
xxdut.x$59.21                          2.32471
xxdut.\$12__t0                         2.32458
xxdut.vdd__t6                          3.59814
xxdut.x$60.11                          3.59737
xxdut.x$60.21                         0.935807
xxdut.\$13__t0                        0.935037
xxdut.\$1                              3.43498
xxdut.\$10                             2.39904
xxdut.\$11                              1.1991
xxdut.\$12                             2.32439
xxdut.\$13                            0.931858
xxdut.\$14                            0.996972
xxdut.\$15                             1.44271
xxdut.\$16                            0.446957
xxdut.\$17                         7.14116e-06
xxdut.\$18                             1.42593
xxdut.\$19                             1.51677
xxdut.\$2                              3.42592
xxdut.\$20                              1.3181
xxdut.\$22                             3.54297
xxdut.\$23                             0.69943
xxdut.\$24                             2.80379
xxdut.\$25                             3.33482
xxdut.\$3                              3.40978
xxdut.\$4                              3.37951
xxdut.\$5                              3.32098
xxdut.\$6                              3.20595
xxdut.\$7                              2.97789
xxdut.\$8                              2.53384
clk                                    0.48016
t0                                           0
t1                                           0
t2                                           0
t3                                           0
t4                                           0
t5                                           0
t6                                         3.6
t7                                         3.6
vdd                                        3.6
vt7#branch                         6.94099e-18
vt6#branch                         1.38714e-17
vt5#branch                                   0
vt4#branch                                   0
vt3#branch                                   0
vt2#branch                                   0
vt1#branch                                   0
vt0#branch                                   0
vdd#branch                        -0.000954018

 Reference value :  0.00000e+00
 Reference value :  5.00194e-08
 Reference value :  9.65883e-08
 Reference value :  1.46547e-07
 Reference value :  1.97540e-07
 Reference value :  2.47036e-07
 Reference value :  2.95699e-07
 Reference value :  3.44839e-07
 Reference value :  3.94827e-07
 Reference value :  4.45028e-07
 Reference value :  4.94286e-07
 Reference value :  5.40366e-07
 Reference value :  5.89460e-07
 Reference value :  6.37477e-07
 Reference value :  6.86007e-07
 Reference value :  7.33424e-07
 Reference value :  7.85092e-07
 Reference value :  8.33517e-07
 Reference value :  8.82711e-07
 Reference value :  9.31811e-07
 Reference value :  9.80482e-07
 Reference value :  1.03033e-06
 Reference value :  1.08086e-06
 Reference value :  1.12955e-06
 Reference value :  1.17634e-06
No. of Data Rows : 6452
ta                  =  9.55172e-08
tb                  =  4.94538e-07
ta = 9.551719e-08
tb = 4.945376e-07
period = 1.995102e-08
fosc = 5.012275e+07
ngspice-46 done

Warning: m=xx on .subckt line will override multiplier m hierarchy!

Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed
