pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,0,0x00,2.729550e+07,27.295500,3.663607e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x00.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,15,0x0F,2.854562e+07,28.545620,3.503164e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x0F.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,16,0x10,2.866756e+07,28.667560,3.488263e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x10.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,31,0x1F,3.003933e+07,30.039330,3.328969e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x1F.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,32,0x20,3.022506e+07,30.225060,3.308512e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x20.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,48,0x30,3.193958e+07,31.939580,3.130911e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x30.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,63,0x3F,3.364312e+07,33.643120,2.972375e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x3F.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,64,0x40,3.377670e+07,33.776700,2.960621e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x40.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,80,0x50,3.588377e+07,35.883770,2.786775e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x50.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,96,0x60,3.836365e+07,38.363650,2.606634e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x60.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,112,0x70,4.112891e+07,41.128910,2.431380e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x70.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,127,0x7F,4.404111e+07,44.041110,2.270606e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x7F.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,128,0x80,4.122347e+07,41.223470,2.425803e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x80.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,144,0x90,4.467282e+07,44.672820,2.238497e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0x90.log,f vs. trim code at tt / 27 C / 3.3 V
trim_curve,tt,typical,res_typical,mimcap_typical,27,3.3,160,0xA0,4.868514e+07,48.685140,2.054015e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+027C_V3p3_code0xA0.log,f vs. trim code at tt / 27 C / 3.3 V
